"","FIPS","Employee_Capacity","Total_Employees_March_Snapshot","Total_Annual_Payroll","Year","Employee_Capacity_Change","Total_Employees_March_Snapshot_Change","Total_Annual_Payroll_Change"
"10072","17123",19347,9165,279116,2012,-247,-699,3581
"10073","17125",16593,8335,269448,2012,888,-182,-5872
"10074","17127",23799,8230,271962,2012,-4247,-946,-63751
"10075","17129",9258,4103,123055,2012,-186,-625,-5151
"10076","17131",15861,7524,247698,2012,-504,-589,6489
"10077","17133",53860,32073,979268,2012,2659,2029,62261
"10078","17135",49755,29358,879931,2012,1145,-51,44546
"10079","17137",85095,46591,1429360,2012,-667,-2643,-56916
"10080","17139",29240,13934,443627,2012,2247,-1159,-120520
"10081","17141",88874,50229,1768836,2012,-3533,-1872,-92879
"10082","17143",708769,481815,21384455,2012,-8613,15419,1341995
"10083","17145",28707,13582,377710,2012,881,225,4816
"10084","17147",15525,8194,299919,2012,-570,585,2155
"10085","17149",21986,11998,346833,2012,-651,-70,7380
"10086","17151",1587,534,10000,2012,-378,55,-871
"10087","17153",4682,1581,47250,2012,-4959,619,17192
"10088","17155",8400,2775,121684,2012,507,273,2711
"10089","17157",70608,37742,1216829,2012,1447,76,22381
"10090","17159",32457,17653,568043,2012,-723,-376,912
"10091","17161",398373,252651,10535569,2012,-7463,7387,727670
"10092","17163",526706,390127,13521320,2012,1498,-3243,361584
"10093","17165",51339,32195,1209600,2012,-987,4552,285573
"10094","17167",560985,399400,15624782,2012,3894,-6595,-143901
"10095","17169",8325,3158,90614,2012,222,577,2119
"10096","17171",4362,1544,49304,2012,186,348,5287
"10097","17173",27457,14231,411212,2012,-154,1059,-16671
"10098","17175",6945,1963,79516,2012,-33,-4,6897
"10099","17177",106051,63832,2346815,2012,8270,3328,174080
"10100","17179",306830,196526,7132019,2012,17330,5847,377343
"10101","17181",23174,14338,363890,2012,699,-12,13617
"10102","17183",162181,91684,3189085,2012,3970,-1082,96697
"10103","17185",19332,10318,353066,2012,-563,151,33125
"10104","17187",38564,15952,424560,2012,5562,430,-5767
"10105","17189",36041,14687,493412,2012,-697,1419,46776
"10106","17191",24303,11260,325849,2012,468,1102,31302
"10107","17193",23930,10971,327790,2012,1275,381,-3492
"10108","17195",118641,72151,2232800,2012,486,312,-11828
"10109","17197",1339504,1055342,42523178,2012,59362,43429,3190077
"10110","17199",149945,102191,3574238,2012,-1135,-2494,128067
"10111","17201",783917,609937,23960437,2012,7706,2362,1034925
"10112","17203",63144,38619,1440844,2012,5489,3699,136931
"10113","18001",73014,40563,1214458,2012,-5717,-136,69343
"10114","18003",1083409,861096,34167720,2012,-5773,3804,1466854
"10115","18005",294633,176834,6900261,2012,28710,20162,1109882
"10116","18007",9474,4634,154673,2012,-534,-3,-9083
"10117","18009",19128,8665,254589,2012,813,-284,-1506
"10118","18011",118158,77261,2781715,2012,3442,6084,227572
"10119","18013",14004,6978,180300,2012,-615,162,931
"10120","18015",28610,11526,338619,2012,60,332,17092
"10121","18017",83429,44589,1349869,2012,-6051,1560,143731
"10122","18019",282432,196046,6694931,2012,1295,2305,358327
"10123","18021",40134,20422,535407,2012,5311,1874,40795
"10124","18023",60231,31405,987010,2012,2963,5209,121760
"10125","18025",9480,2535,63047,2012,396,194,4925
"10126","18027",72387,40410,1215804,2012,2254,-837,-31012
"10127","18029",92577,47424,1420409,2012,4167,1283,-20729
"10128","18031",77796,39204,1452788,2012,11838,2470,216774
"10129","18033",119748,76555,2995375,2012,6678,1709,205660
"10130","18035",256460,164006,5179761,2012,6681,-5381,-13929
"10131","18037",167625,112002,4202548,2012,4150,285,73354
"10132","18039",729325,578265,21963057,2012,31680,33146,2266800
"10133","18041",38322,20152,619179,2012,3327,608,8423
"10134","18043",181108,110174,3665258,2012,8480,7372,289660
"10135","18045",30193,12028,365632,2012,-1936,1746,84368
"10136","18047",35232,13962,425839,2012,1179,-1616,-4732
"10137","18049",37677,18176,572890,2012,666,464,-10848
"10138","18051",105027,58494,2572988,2012,918,-435,121216
"10139","18053",192321,118920,3534888,2012,21537,7021,106378
"10140","18055",35562,19862,512602,2012,1641,1342,49177
"10141","18057",758932,577827,27088926,2012,60095,43654,3351380
"10142","18059",127170,78497,2666979,2012,16558,12545,313155
"10143","18061",59876,28385,806691,2012,-1310,872,13334
"10144","18063",339400,242781,7489376,2012,19905,9565,600173
"10145","18065",73401,38191,1098712,2012,2551,-1190,7638
"10146","18067",196959,120636,4189090,2012,5679,4085,124912
"10147","18069",83370,42950,1305111,2012,-3269,-1869,-19968
"10148","18071",122922,60779,2022127,2012,2364,-5773,-97645
"10149","18073",59094,33822,1116524,2012,1722,282,58128
"10150","18075",42720,18748,547469,2012,-21,-1203,-19388
"10151","18077",71391,38019,1198238,2012,3279,2401,110242
"10152","18079",43566,20139,700974,2012,1713,-323,3702
"10153","18081",283364,214669,7035215,2012,11516,14602,784919
"10154","18083",93393,51290,1670252,2012,3016,8,42105
"10155","18085",220250,154542,7082429,2012,-329,2296,504292
"10156","18087",70613,45622,1735769,2012,2727,3857,206123
"10157","18089",1081237,840071,32521423,2012,-10942,7624,1088665
"10158","18091",234343,159304,5244504,2012,5520,5644,264726
"10159","18093",80682,46014,1410772,2012,2536,-293,4488
"10160","18095",230787,146610,4272468,2012,7560,22,85767
"10161","18097",3345167,2807206,134776679,2012,33675,34244,1000597
"10162","18099",107474,60900,1983389,2012,1342,-517,56859
"10163","18101",18285,8957,370956,2012,3500,1452,128374
"10164","18103",48294,26018,780520,2012,1820,1115,65332
"10165","18105",335930,216887,6849987,2012,15970,6007,430813
"10166","18107",87294,39640,1333064,2012,1779,-1492,9218
"10167","18109",84071,52119,1598918,2012,8232,2875,134120
"10168","18111",17547,7440,264675,2012,1528,-680,-10009
"10169","18113",105693,56959,1891411,2012,1692,2469,182783
"10170","18115",8088,1818,52109,2012,183,-253,-6155
"10171","18117",50052,15642,477375,2012,6864,851,35075
"10172","18119",21087,9329,266763,2012,-3272,-785,-16632
"10173","18121",13437,5823,165123,2012,-457,-363,-10920
"10174","18123",33648,13481,465894,2012,-1502,-832,10364
"10175","18125",16651,5727,223382,2012,10,432,21398
"10176","18127",331818,251701,10630054,2012,3143,8401,1012189
"10177","18129",62507,34566,1742941,2012,3465,904,124615
"10178","18131",22502,10466,362148,2012,425,106,-4382
"10179","18133",71385,31194,855263,2012,-555,132,13829
"10180","18135",38703,16055,611182,2012,2121,-2544,27474
"10181","18137",72364,30050,1182695,2012,2462,1641,111241
"10182","18139",26034,11400,349334,2012,2298,626,-47498
"10183","18141",727506,546474,19667625,2012,9266,971,691916
"10184","18143",36882,19049,527226,2012,3202,-86,-7069
"10185","18145",101751,53206,1856952,2012,408,3705,196279
"10186","18147",35277,14602,512324,2012,-1998,-531,-25936
"10187","18149",21102,9409,250160,2012,492,-304,-15996
"10188","18151",85554,42673,1189252,2012,175,-1796,-46261
"10189","18153",30552,13306,637033,2012,1207,2864,326116
"10190","18155",12734,2936,77867,2012,129,37,4188
"10191","18157",431000,290560,9763403,2012,18301,12887,366531
"10192","18159",21243,9292,309833,2012,-411,824,24563
"10193","18161",5316,1761,51894,2012,-411,-176,-2524
"10194","18163",711632,506209,17943062,2012,12223,2966,-23529
"10195","18165",24083,9395,357492,2012,-225,-527,-1826
"10196","18167",313896,206518,6814946,2012,7632,4125,130462
"10197","18169",74078,38484,1156361,2012,1451,166,27076
"10198","18171",10169,3909,127712,2012,-93,1506,47678
"10199","18173",95130,51695,1886053,2012,5147,35,47040
"10200","18175",32271,13822,407383,2012,2127,226,14514
"10201","18177",167249,102745,3198117,2012,1788,5729,131457
"10202","18179",65427,34270,1108193,2012,-2146,2115,94771
"10203","18181",50580,23121,725842,2012,3235,125,15337
"10204","18183",69678,33578,1144915,2012,-2952,1522,61831
"10205","19001",12626,3815,120429,2012,644,348,15042
"10206","19003",6420,1700,60630,2012,498,2,4045
"10207","19005",28242,14300,427829,2012,-807,-294,17612
"10208","19007",24540,9980,281253,2012,-1113,-1088,5004
"10209","19009",8289,3332,113603,2012,-159,292,15235
"10210","19011",30578,17548,561982,2012,252,536,25147
"10211","19013",442663,282745,9709020,2012,25725,2238,161794
"10212","19015",45132,20597,665737,2012,708,-1396,-31354
"10213","19017",58098,30082,1063901,2012,2622,148,83394
"10214","19019",35477,18015,608891,2012,-96,-1128,-5539
"10215","19021",60243,30691,999427,2012,2580,2284,99177
"10216","19023",17427,9792,290171,2012,967,484,1792
"10217","19025",15766,7989,229846,2012,-1139,-73,18845
"10218","19027",71589,39138,1305143,2012,648,-950,30140
"10219","19029",33159,17881,558614,2012,656,1704,40088
"10220","19031",29931,15539,489852,2012,1365,966,42358
"10221","19033",149632,88333,3133858,2012,694,2277,173178
"10222","19035",30041,13013,416053,2012,-1200,-379,1005
"10223","19037",28263,14055,488757,2012,2748,471,47464
"10224","19039",22941,7227,189017,2012,981,-307,-7173
"10225","19041",52310,27241,961012,2012,-637,-697,-22130
"10226","19043",34804,18350,589588,2012,1769,526,41852
"10227","19045",168550,80578,2581833,2012,-4794,-1221,29719
"10228","19047",44520,27698,928258,2012,-420,9,29163
"10229","19049",228158,125186,5609119,2012,15302,14433,692395
"10230","19051",9903,3620,115566,2012,476,-221,13869
"10231","19053",12558,3564,77093,2012,-372,4,-5043
"10232","19055",37626,17235,582815,2012,2187,676,17661
"10233","19057",128621,74833,2486583,2012,156,-640,77369
"10234","19059",46850,25470,805871,2012,-2154,-492,-86347
"10235","19061",353770,239557,8681276,2012,13397,7803,493231
"10236","19063",24753,10422,350631,2012,-305,-877,-16129
"10237","19065",42357,20006,569748,2012,948,821,26914
"10238","19067",28769,13862,467902,2012,-2143,-1769,-47970
"10239","19069",20715,9528,326015,2012,6,-652,-30988
"10240","19071",17112,7536,216380,2012,1992,778,-3787
"10241","19073",19499,7542,245611,2012,2124,1114,33601
"10242","19075",20412,9269,367949,2012,564,-126,34299
"10243","19077",19371,9299,294677,2012,1374,67,2068
"10244","19079",29907,14643,468522,2012,-4065,-2015,-61328
"10245","19081",21920,8957,311025,2012,2430,492,45779
"10246","19083",35808,18431,631251,2012,-270,-1372,-20977
"10247","19085",23073,10006,322957,2012,2313,-69,11151
"10248","19087",98841,29270,932963,2012,47638,5417,172307
"10249","19089",19503,9620,264790,2012,-99,677,-3026
"10250","19091",23730,12009,410414,2012,7,-15,23753
"10251","19093",20519,6841,265833,2012,1196,72,15293
"10252","19095",50457,22241,649403,2012,-3890,-5063,-119142
"10253","19097",34740,17404,518917,2012,2415,-151,-3407
"10254","19099",57315,28833,873546,2012,3080,140,23581
"10255","19101",48400,21374,780459,2012,2285,-86,-96168
"10256","19103",379266,281463,10904166,2012,-10036,-613,1442818
"10257","19105",34832,16359,555897,2012,4101,364,71330
"10258","19107",13745,5563,196919,2012,-499,-837,-20115
"10259","19109",39681,19561,700457,2012,-329,692,25370
"10260","19111",91191,47391,1616022,2012,8980,333,62230
"10261","19113",758539,553920,22832769,2012,7863,2044,505158
"10262","19115",20280,6275,193097,2012,376,215,-39429
"10263","19117",18641,5745,179774,2012,3629,1085,29030
"10264","19119",23771,10413,319505,2012,5130,812,21641
"10265","19121",18168,8845,286613,2012,-864,324,4858
"10266","19123",47683,22572,695692,2012,1696,-251,12727
"10267","19125",96781,45044,1507343,2012,-8525,100,65856
"10268","19127",90191,40484,1362779,2012,-6970,-820,34928
"10269","19129",15024,7859,245436,2012,286,350,15219
"10270","19131",22346,10061,335715,2012,1329,-769,-8403
"10271","19133",12708,7814,232139,2012,-827,89,26452
"10272","19135",13335,5366,148699,2012,1893,731,25154
"10273","19137",21144,10556,319330,2012,384,249,11654
"10274","19139",128546,66711,2384850,2012,9969,3723,37172
"10275","19141",35070,20948,568774,2012,-45,296,-22120
"10276","19143",9423,3785,120661,2012,390,43,-1771
"10277","19145",34440,18717,557478,2012,-735,981,-10458
"10278","19147",19502,9874,286416,2012,1973,1397,40871
"10279","19149",66984,38253,1363896,2012,-51,-85,73682
"10280","19151",13863,7074,228374,2012,457,38,13089
"10281","19153",1593576,1308360,59945678,2012,47776,69454,4080966
"10282","19155",207551,145175,4368766,2012,2790,3917,96962
"10283","19157",62366,23217,771956,2012,2829,372,1530
"10284","19159",7047,2851,87924,2012,336,314,11647
"10285","19161",18023,9191,286966,2012,1016,376,1601
"10286","19163",529813,393214,14344082,2012,-9199,3583,551847
"10287","19165",36287,17236,557385,2012,-1245,412,27325
"10288","19167",120704,77402,2461935,2012,1219,130,60896
"10289","19169",197431,128530,4324402,2012,7420,7741,486513
"10290","19171",22704,11195,347155,2012,280,-132,3267
"10291","19173",11148,3578,132539,2012,2190,-14,-9744
"10292","19175",38078,15974,495448,2012,4462,-130,-13557
"10293","19177",12435,3782,118750,2012,178,424,5978
"10294","19179",90522,48955,1600626,2012,-1615,1277,97755
"10295","19181",50769,30424,885114,2012,-2882,232,22073
"10296","19183",48645,24532,766185,2012,1803,1270,52656
"10297","19185",9783,3310,91097,2012,34,-314,-11765
"10298","19187",103698,64848,2316638,2012,567,-3922,-44669
"10299","19189",36540,12517,377334,2012,-2568,-886,15724
"10300","19191",62301,28959,878741,2012,805,-287,11284
"10301","19193",300782,209911,6613200,2012,-4720,753,184483
"10302","19195",12369,4010,127096,2012,984,278,8386
"10303","19197",29356,14775,497738,2012,-852,204,18840
"10304","20001",29880,13155,382267,2012,-567,-428,-9629
"10305","20003",9893,3826,114883,2012,-1264,-137,123
"10306","20005",39510,18106,521540,2012,763,1092,54356
"10307","20007",10623,4191,165342,2012,1161,563,48445
"10308","20009",75693,45733,1692318,2012,9110,6144,184874
"10309","20011",32217,16185,459442,2012,1270,763,33148
"10310","20013",23889,9625,292981,2012,1305,1060,19403
"10311","20015",90864,56843,1627085,2012,1361,2367,46493
"10312","20017",2877,597,22551,2012,295,72,7190
"10313","20019",3732,1341,27451,2012,174,323,3341
"10314","20021",36774,15891,534538,2012,472,-267,11118
"10315","20023",3482,1395,60116,2012,-498,-89,3183
"10316","20025",3264,234,12494,2012,-15,-23,1141
"10317","20027",18288,7629,212645,2012,987,970,20329
"10318","20029",19221,10389,274143,2012,-146,1054,9114
"10319","20031",22494,3722,104124,2012,-530,221,-10786
"10320","20033",3126,1092,23359,2012,-72,-2,203
"10321","20035",76044,41664,1274197,2012,-671,-1961,-42790
"10322","20037",94881,54579,1547313,2012,1735,2709,183137
"10323","20039",5079,1711,49092,2012,198,224,10603
"10324","20041",35334,16643,520789,2012,689,1063,29876
"10325","20043",10143,3396,127662,2012,-51,151,9692
"10326","20045",251633,167022,4555498,2012,-2173,835,103485
"10327","20047",4596,1171,52514,2012,-576,99,703
"10328","20049",2616,618,15229,2012,258,156,2134
"10329","20051",89235,54002,1730725,2012,3704,2847,131831
"10330","20053",12305,5316,166882,2012,390,-119,-153
"10331","20055",96685,46443,1632716,2012,-2675,-3345,13319
"10332","20057",108720,48871,1699498,2012,-1896,527,64142
"10333","20059",63084,24876,767649,2012,-1899,-3302,-156134
"10334","20061",56953,28217,735628,2012,4747,-387,-2196
"10335","20063",6171,2114,65331,2012,610,166,10238
"10336","20065",5708,1618,49427,2012,12,258,8300
"10337","20067",16776,8861,367396,2012,1018,1236,65025
"10338","20069",11580,4502,165091,2012,567,814,23334
"10339","20071",2289,441,14765,2012,-3,96,1328
"10340","20073",8436,1975,105543,2012,474,-1098,1491
"10341","20075",4026,1153,35542,2012,36,322,8728
"10342","20077",12629,4477,169079,2012,1284,-269,10768
"10343","20079",88463,44125,1397948,2012,474,-1302,11705
"10344","20081",5226,1955,76640,2012,-443,60,-22847
"10345","20083",1920,460,17075,2012,102,126,2914
"10346","20085",19080,7448,190710,2012,330,53,-6226
"10347","20087",15551,7127,213481,2012,1186,-11,19567
"10348","20089",3405,804,25444,2012,-194,-440,-2453
"10349","20091",2046467,1695466,85787845,2012,39255,24809,3270180
"10350","20093",4035,970,29390,2012,24,-49,-1359
"10351","20095",15177,6062,207685,2012,1852,623,20505
"10352","20097",4971,1846,70830,2012,-555,202,2507
"10353","20099",57120,27431,786796,2012,-112,-151,42360
"10354","20101",2652,594,20230,2012,-87,145,647
"10355","20103",95167,60238,2114604,2012,-1510,-2854,-20429
"10356","20105",4017,1263,37463,2012,361,243,2194
"10357","20107",8652,3297,110796,2012,-107,1173,52138
"10358","20109",5022,1589,54833,2012,-759,-84,1007
"10359","20111",76668,45579,1300782,2012,-1449,87,-41418
"10360","20113",96594,56475,2011719,2012,4121,-269,96382
"10361","20115",17904,8227,224116,2012,-1314,-806,-9185
"10362","20117",26844,13614,453721,2012,-189,1016,43428
"10363","20119",6921,2446,87945,2012,633,254,16821
"10364","20121",44349,23779,830927,2012,1582,36,116366
"10365","20123",18149,6964,223840,2012,24,-208,-18212
"10366","20125",93486,49556,1562743,2012,2531,1948,89821
"10367","20127",7970,2318,77423,2012,-388,-664,1009
"10368","20129",5856,2071,78648,2012,-522,-284,-10665
"10369","20131",31353,16890,543177,2012,2628,451,23502
"10370","20133",36208,17684,561369,2012,1149,-1220,5305
"10371","20135",7272,3285,150254,2012,-183,36,23064
"10372","20137",12726,4311,125961,2012,381,-357,-1527
"10373","20139",19592,7359,167705,2012,89,241,12512
"10374","20141",7953,2884,94097,2012,297,-223,-2370
"10375","20143",6327,2031,68013,2012,-60,113,7870
"10376","20145",13824,5082,174362,2012,-630,-1273,-42254
"10377","20147",12266,5466,184387,2012,585,565,31761
"10378","20149",52899,23952,789953,2012,397,994,54144
"10379","20151",23940,13712,534137,2012,44,-172,69101
"10380","20153",4266,1844,72598,2012,51,380,5573
"10381","20155",165021,97854,3110689,2012,12260,1674,22440
"10382","20157",9018,3389,100233,2012,-756,-489,-2769
"10383","20159",17753,8693,262287,2012,-730,60,437
"10384","20161",136676,94524,2506197,2012,1765,-958,6611
"10385","20163",10154,4150,136753,2012,647,501,24555
"10386","20165",6288,1799,77506,2012,81,86,17372
"10387","20167",13302,6600,232708,2012,-159,783,28011
"10388","20169",177235,113922,3682135,2012,-5676,1708,-46437
"10389","20171",8385,3843,142562,2012,-896,659,4184
"10390","20173",1416266,1188321,50061146,2012,20052,36618,1704139
"10391","20175",68355,30970,1161618,2012,1048,311,18690
"10392","20177",509976,369402,14704662,2012,3941,7262,950730
"10393","20179",4926,1069,45571,2012,432,93,3190
"10394","20181",13359,6136,178055,2012,133,-35,8772
"10395","20183",6269,2258,67346,2012,-593,-489,-5961
"10396","20185",4625,1362,51143,2012,187,-15,683
"10397","20187",2670,482,23002,2012,-234,-532,-14171
"10398","20189",7161,3074,116305,2012,387,33,5301
"10399","20191",30256,17002,564206,2012,-1002,-1467,29970
"10400","20193",19591,10983,359290,2012,-154,-350,35041
"10401","20195",6594,1937,58828,2012,486,56,10518
"10402","20197",6409,1972,62286,2012,633,31,3459
"10403","20199",1887,368,16536,2012,-32,-118,-2552
"10404","20201",10710,4509,114473,2012,792,-126,-388
"10405","20203",3468,854,33150,2012,-57,-107,3234
"10406","20205",22386,8015,251466,2012,-515,305,6687
"10407","20207",3597,1420,44834,2012,-26,-95,-142
"10408","20209",454432,295345,12529309,2012,31516,4072,496197
"10409","21001",26344,11737,303434,2012,-268,267,6312
"10410","21003",22437,7340,173224,2012,1040,66,-9021
"10411","21005",23459,10604,311369,2012,483,1391,21921
"10412","21007",10806,3066,143696,2012,-1767,-1403,-60525
"10413","21009",89733,52742,1712999,2012,3997,1124,140419
"10414","21011",7485,2734,72172,2012,97,151,4291
"10415","21013",48870,28208,831420,2012,-458,-709,-79868
"10416","21015",484370,335302,12575939,2012,62027,56376,2260943
"10417","21017",38940,15614,547494,2012,-1177,-806,-16591
"10418","21019",159703,91314,3344803,2012,-857,199,-165787
"10419","21021",85486,43142,1428821,2012,-14,-782,12849
"10420","21023",5763,1347,42853,2012,-254,-39,-4938
"10421","21025",22354,10230,284319,2012,6564,3016,59506
"10422","21027",16558,8378,231733,2012,589,192,6445
"10423","21029",110850,55913,1599482,2012,4612,614,46594
"10424","21031",13749,4511,120350,2012,1657,910,18039
"10425","21033",24542,9219,243701,2012,-156,-226,14272
"10426","21035",91796,46314,1278475,2012,2058,-327,32080
"10427","21037",162923,105112,3260385,2012,943,845,225850
"10428","21039",3789,1032,30878,2012,523,78,7659
"10429","21041",35619,15449,692509,2012,-207,1703,30544
"10430","21043",34521,16250,396661,2012,-3228,-864,-40616
"10431","21045",19206,6932,161478,2012,1660,596,-4162
"10432","21047",151731,97909,3044233,2012,-4690,-2341,-144071
"10433","21049",72267,38005,1286896,2012,-1448,-285,9414
"10434","21051",18831,7989,228518,2012,1965,-317,16434
"10435","21053",22140,6356,169760,2012,-335,-351,-3738
"10436","21055",11622,4736,106605,2012,1038,815,15214
"10437","21057",8091,2492,61679,2012,-498,251,-2243
"10438","21059",279586,182512,5870218,2012,3843,-4683,-91952
"10439","21061",5339,1923,58749,2012,-461,-453,1747
"10440","21063",1974,533,16242,2012,-69,77,2080
"10441","21065",10683,4630,129791,2012,-452,74,20758
"10442","21067",991121,777797,31208259,2012,52997,36048,1267850
"10443","21069",13902,6225,174910,2012,-1368,241,-251
"10444","21071",60629,40633,1443834,2012,1952,617,-13072
"10445","21073",98027,62125,2124017,2012,-3853,-1784,-8628
"10446","21075",9819,3354,113506,2012,-7155,-1402,-64607
"10447","21077",6831,2358,55975,2012,2079,100,7606
"10448","21079",9764,3357,105396,2012,-1143,-1551,-36895
"10449","21081",27674,12602,321248,2012,-1762,-598,-16983
"10450","21083",63894,30959,922440,2012,1177,-373,-2877
"10451","21085",38995,19607,532449,2012,526,1778,24533
"10452","21087",7877,3889,99150,2012,-697,257,14115
"10453","21089",37776,22767,709872,2012,2622,3292,82464
"10454","21091",17388,6180,311770,2012,-5286,-6333,-381119
"10455","21093",233676,147251,4604541,2012,5342,1122,211856
"10456","21095",39788,26787,1069912,2012,-2266,-1905,-204510
"10457","21097",29588,12075,397358,2012,850,-202,8682
"10458","21099",25402,11008,320438,2012,549,1029,17627
"10459","21101",112434,61985,2212999,2012,2431,242,96711
"10460","21103",13617,6268,194085,2012,1131,91,14966
"10461","21105",7137,1464,67771,2012,-938,-581,13046
"10462","21107",103659,49262,1798027,2012,5156,-3172,-65652
"10463","21109",10896,3126,63063,2012,2508,1226,15539
"10464","21111",2618556,2057910,88756277,2012,81616,62946,5590048
"10465","21113",95707,55261,1709405,2012,6781,2999,120226
"10466","21115",29467,14910,467309,2012,355,70,24109
"10467","21117",378513,235025,9604196,2012,-49383,-11562,-1184952
"10468","21119",11730,4507,137861,2012,-2146,-1600,-74717
"10469","21121",46133,23065,609883,2012,-3489,-834,430
"10470","21123",10055,5549,160275,2012,-2556,-1431,-8996
"10471","21125",140028,82642,2879948,2012,-9707,-2607,207960
"10472","21127",16184,7582,251053,2012,-700,-267,27447
"10473","21129",9744,2075,48983,2012,368,43,1175
"10474","21131",7857,2330,92061,2012,130,-856,-10592
"10475","21133",31000,16456,637166,2012,1329,-1193,-164574
"10476","21135",8897,2942,83271,2012,-37,-515,-2707
"10477","21137",20430,9588,247414,2012,-3532,418,4045
"10478","21139",12441,5224,224107,2012,298,781,12363
"10479","21141",40414,19075,641826,2012,-4304,1023,64335
"10480","21143",7847,3585,91778,2012,239,-156,11334
"10481","21145",225776,151895,5460772,2012,-8925,-915,44793
"10482","21147",9601,4830,116771,2012,-697,-599,117
"10483","21149",7659,3043,98025,2012,-15,-544,-11847
"10484","21151",150890,90788,2769744,2012,6499,1306,351455
"10485","21153",9661,4761,125200,2012,443,290,-11017
"10486","21155",50758,25451,856566,2012,5928,-319,58259
"10487","21157",60136,34271,1294095,2012,4602,1707,94241
"10488","21159",15338,10155,498701,2012,-739,601,75103
"10489","21161",45435,21296,679738,2012,-1752,506,19559
"10490","21163",21840,10573,302273,2012,402,-648,-14870
"10491","21165",3621,1207,27211,2012,198,886,-312
"10492","21167",30705,15536,566179,2012,-750,1087,71765
"10493","21169",9063,2951,86139,2012,-231,136,7940
"10494","21171",16413,6799,182979,2012,1086,-32,378
"10495","21173",67103,31512,1011622,2012,4062,2338,137418
"10496","21175",14577,5854,149887,2012,144,-465,-5168
"10497","21177",41955,24162,708746,2012,-5799,-1756,-101794
"10498","21179",86094,46646,1617091,2012,2690,2003,137378
"10499","21181",3483,968,29305,2012,-505,-112,2022
"10500","21183",41700,13619,379534,2012,3184,-1094,4054
"10501","21185",74099,41353,1409556,2012,3258,354,93041
"10502","21187",8454,2083,61987,2012,-2496,-1210,-36673
"10503","21189",2799,660,17245,2012,162,5,273
"10504","21191",11604,3601,121356,2012,594,-43,20701
"10505","21193",73922,47429,1756144,2012,2984,1473,-118832
"10506","21195",138450,92941,3704000,2012,-803,1482,-142550
"10507","21197",10458,5107,110914,2012,600,68,3359
"10508","21199",134108,89986,2815700,2012,-636,-5854,-3941
"10509","21201",885,133,3367,2012,33,112,380
"10510","21203",15614,7158,196045,2012,-304,3,13423
"10511","21205",50669,21385,558657,2012,2298,-27,2574
"10512","21207",37868,15870,405203,2012,4309,1533,14796
"10513","21209",138846,62341,2533766,2012,5159,-1268,164496
"10514","21211",81125,42800,1509066,2012,3242,-879,170132
"10515","21213",48474,24377,775341,2012,279,1496,102614
"10516","21215",7493,3288,89712,2012,-248,-136,8230
"10517","21217",66188,30506,761042,2012,2505,-584,35220
"10518","21219",10983,4150,123214,2012,865,-22,11419
"10519","21221",15594,7241,178709,2012,447,294,2381
"10520","21223",4482,1374,48640,2012,-108,170,2578
"10521","21225",29381,12394,533682,2012,-1331,-259,22637
"10522","21227",312448,213398,7635489,2012,1336,2775,111008
"10523","21229",20017,7339,232234,2012,2248,-54,17108
"10524","21231",26491,12844,349416,2012,-659,778,28912
"10525","21233",16218,6996,245934,2012,-1020,1291,25668
"10526","21235",63929,29907,923495,2012,-2832,-1089,-62829
"10527","21237",4654,1432,35155,2012,7,300,4213
"10528","21239",44758,20847,781679,2012,-1112,-358,7058
"10529","22001",88398,55618,1866832,2012,3215,-1580,23557
"10530","22003",23938,10423,276278,2012,-2054,-2719,-28751
"10531","22005",224865,146986,6656393,2012,17805,7008,606117
"10532","22007",18381,8783,309683,2012,-108,852,55674
"10533","22009",56729,32090,848445,2012,-821,-805,-11842
"10534","22011",44664,24464,761225,2012,-347,2285,62672
"10535","22013",21989,8489,308683,2012,647,-257,-28398
"10536","22015",239827,168149,5376979,2012,-7980,-6189,-46480
"10537","22017",740320,577583,21462126,2012,17337,37139,-436670
"10538","22019",457730,339492,12544661,2012,9343,8430,703318
"10539","22021",12363,5717,144312,2012,-2109,-1984,-26938
"10540","22023",8844,3006,189457,2012,-1077,388,9706
"10541","22025",11049,3792,124786,2012,-1298,-250,-26725
"10542","22027",21213,10051,365229,2012,1581,1141,-10613
"10543","22029",27915,14093,449203,2012,-342,-297,21305
"10544","22031",40431,14854,609971,2012,2154,-4200,-177165
"10545","22033",1492694,1203346,52262260,2012,16631,-66499,-1500413
"10546","22035",7074,2328,77281,2012,-1466,-718,-33628
"10547","22037",20514,9771,352744,2012,-6649,-416,36393
"10548","22039",43283,20963,591140,2012,-88,-2516,-55303
"10549","22041",27081,16159,430783,2012,-2114,-1321,4906
"10550","22043",12720,4503,122797,2012,907,-273,517
"10551","22045",200325,143160,6892186,2012,5998,6042,406957
"10552","22047",62208,37030,2321078,2012,3775,3202,292761
"10553","22049",16710,8353,242997,2012,-1319,-638,-6061
"10554","22051",1242463,976699,41009581,2012,12550,15469,1417086
"10555","22053",45785,29511,906242,2012,700,2526,94938
"10556","22055",853807,664143,29867849,2012,11452,2130,1146107
"10557","22057",190355,140310,6806538,2012,3510,717,450240
"10558","22059",19752,9102,394196,2012,-1884,-840,36781
"10559","22061",98832,58950,1858747,2012,659,-1487,-47068
"10560","22063",127320,84172,2492871,2012,9393,4319,115468
"10561","22065",16815,8961,211284,2012,177,568,17951
