"","FIPS","State","Year","Fentanyl_Total"
"304",54,"West Virginia",2015,100
"305",55,"Wisconsin",2015,77
"306",56,"Wyoming",2015,1
"307",1,"Alabama",2016,125
"308",2,"Alaska",2016,11
"309",4,"Arizona",2016,87
"310",5,"Arkansas",2016,62
"311",6,"California",2016,236
"312",8,"Colorado",2016,25
"313",9,"Connecticut",2016,203
"314",10,"Delaware",2016,22
"315",11,"District of
Columbia",2016,38
"316",12,"Florida",2016,1112
"317",13,"Georgia",2016,88
"318",15,"Hawaii",2016,1
"319",16,"Idaho",2016,17
"320",17,"Illinois",2016,1569
"321",18,"Indiana",2016,620
"322",19,"Iowa",2016,59
"323",20,"Kansas",2016,23
"324",21,"Kentucky",2016,1059
"325",22,"Louisiana",2016,138
"326",23,"Maine",2016,178
"327",24,"Maryland",2016,1527
"328",25,"Massachusetts",2016,5519
"329",26,"Michigan",2016,358
"330",27,"Minnesota",2016,66
"331",28,"Mississippi",2016,58
"332",29,"Missouri",2016,645
"333",30,"Montana",2016,9
"334",31,"Nebraska",2016,5
"335",32,"Nevada",2016,6
"336",33,"New
Hampshire",2016,1202
"337",34,"New Jersey",2016,1662
"338",35,"New Mexico",2016,22
"339",36,"New York",2016,645
"340",37,"North
Carolina",2016,103
"341",38,"North Dakota",2016,54
"342",39,"Ohio",2016,10706
"343",40,"Oklahoma",2016,29
"344",41,"Oregon",2016,25
"345",42,"Pennsylvania",2016,2895
"346",44,"Rhode Island",2016,442
"347",45,"South
Carolina",2016,177
"348",46,"South Dakota",2016,1
"349",47,"Tennessee",2016,293
"350",48,"Texas",2016,137
"351",49,"Utah",2016,19
"352",50,"Vermont",2016,157
"353",51,"Virginia",2016,1434
"354",53,"Washington",2016,56
"355",54,"West Virginia",2016,113
"356",55,"Wisconsin",2016,282
"357",56,"Wyoming",2016,4
"358",1,"Alabama",2017,200
"359",2,"Alaska",2017,4
"360",4,"Arizona",2017,363
"361",5,"Arkansas",2017,130
"362",6,"California",2017,656
"363",8,"Colorado",2017,27
"364",9,"Connecticut",2017,433
"365",10,"Delaware",2017,65
"366",11,"District of
Columbia",2017,94
"367",12,"Florida",2017,1525
"368",13,"Georgia",2017,136
"369",15,"Hawaii",2017,1
"370",16,"Idaho",2017,16
"371",17,"Illinois",2017,2787
"372",18,"Indiana",2017,1034
"373",19,"Iowa",2017,250
"374",20,"Kansas",2017,50
"375",21,"Kentucky",2017,2370
"376",22,"Louisiana",2017,215
"377",23,"Maine",2017,288
"378",24,"Maryland",2017,3321
"379",25,"Massachusetts",2017,6615
